SYMBOL,COMPANY NAME,MARKET CAP,MARKET CAP CATEGORY,EXCHANGE,KITE_ID,SHOONYA_TOKEN
TVSMOTOR,TVS Motor Company Limited,116832.9146,Large Cap,NSE,2170625,8479
PNB,Punjab National Bank,114883.022,Large Cap,NSE,2730497,10666
CIPLA,Cipla Limited,114579.8525,Large Cap,NSE,177665,694
BAJAJHLDNG,Bajaj Holdings & Investment Limited,113779.1992,Large Cap,NSE,78081,305
ADANIENSOL,Adani Energy Solutions Limited,113629.0824,Large Cap,NSE,2615553,10217
BAJAJHFL,Bajaj Housing Finance Limited,111880.3591,Large Cap,NSE,6469121,25270
CGPOWER,CG Power and Industrial Solutions Limited,109149.4674,Large Cap,NSE,194561,760
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,108000.0446,Large Cap,NSE,4774913,18652
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,107112.0384,Large Cap,NSE,175361,685
BOSCHLTD,Bosch Limited,106715.7291,Large Cap,NSE,558337,2181
TORNTPHARM,Torrent Pharmaceuticals Limited,106197.2738,Large Cap,NSE,900609,3518
MANKIND,Mankind Pharma Limited,105281.2313,Large Cap,NSE,3937281,15380
UNITDSPR,United Spirits Limited,105222.1702,Large Cap,NSE,2674433,10447
HAVELLS,Havells India Limited,104291.4476,Large Cap,NSE,2513665,9819
DRREDDY,Dr. Reddy's Laboratories Limited,104189.7423,Large Cap,NSE,225537,881
IOB,Indian Overseas Bank,102413.2121,Large Cap,NSE,2393089,9348
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,101186.3519,Large Cap,NSE,878593,3432
APOLLOHOSP,Apollo Hospitals Enterprise Limited,100397.8686,Large Cap,NSE,40193,157
NAUKRI,Info Edge (India) Limited,99294.64218,Large Cap,NSE,3520257,13751
ZYDUSLIFE,Zydus Lifesciences Limited,99158.72051,Large Cap,NSE,2029825,7929
LUPIN,Lupin Limited,98458.28485,Large Cap,NSE,2672641,10440
HEROMOTOCO,Hero MotoCorp Limited,98176.17859,Large Cap,NSE,345089,1348
OFSS,Oracle Financial Services Software Limited,97793.39592,Large Cap,NSE,2748929,10738
INDHOTEL,The Indian Hotels Company Limited,97469.37283,Large Cap,NSE,387073,1512
CUMMINSIND,Cummins India Limited,97338.77924,Large Cap,NSE,486657,1901
