segment,name,exchange,instrument_type,instrument_key,lot_size,freeze_quantity,exchange_token,tick_size,trading_symbol,qty_multiplier,isin,security_type,mtf_enabled,mtf_bracket,short_name
NSE_EQ,SIGNATUREGLOBAL INDIA LTD,NSE,EQ,NSE_EQ|INE903U01023,1.0,100000.0,18743,5.0,SIGNATURE,1.0,INE903U01023,NORMAL,True,30.4,
NSE_EQ,ORIENT CEMENT LTD.,NSE,EQ,NSE_EQ|INE876N01018,1.0,100000.0,30089,1.0,ORIENTCEM,1.0,INE876N01018,NORMAL,True,35.0,Orient Cement
NSE_EQ,NIPPONAMC - NETFAUTO,NSE,EQ,NSE_EQ|INF204KC1337,1.0,100000.0,7880,1.0,AUTOBEES,1.0,INF204KC1337,NORMAL,True,26.5,Nippon AMC - NETF Auto
NSE_EQ,RAM RATNA WIRES LIMITED,NSE,EQ,NSE_EQ|INE207E01023,1.0,100000.0,10485,5.0,RAMRAT,1.0,INE207E01023,NORMAL,True,35.0,Ram Ratna Wires
NSE_EQ,RPSG VENTURES LIMITED,NSE,EQ,NSE_EQ|INE425Y01011,1.0,100000.0,8119,5.0,RPSGVENT,1.0,INE425Y01011,NORMAL,True,35.0,RPSG Ventures
NSE_EQ,ASSO ALCOHOLS & BREW LTD,NSE,EQ,NSE_EQ|INE073G01016,1.0,100000.0,17598,5.0,ASALCBR,1.0,INE073G01016,NORMAL,True,37.18,Asso Alcohols & Brew
NSE_EQ,PUNJAB NATIONAL BANK,NSE,EQ,NSE_EQ|INE160A01022,1.0,100000.0,10666,1.0,PNB,1.0,INE160A01022,NORMAL,True,29.07,PNB
NSE_EQ,ORKLA INDIA LIMITED,NSE,EQ,NSE_EQ|INE16NZ01023,1.0,100000.0,759569,5.0,ORKLAINDIA,1.0,INE16NZ01023,NORMAL,True,35.0,
NSE_EQ,SKF INDIA LTD,NSE,EQ,NSE_EQ|INE640A01023,1.0,100000.0,3186,10.0,SKFINDIA,1.0,INE640A01023,NORMAL,True,35.0,SKF India
NSE_EQ,EMMVEE PHOTOVOLTAIC PWR L,NSE,EQ,NSE_EQ|INE1C6T01020,1.0,100000.0,759728,1.0,EMMVEE,1.0,INE1C6T01020,NORMAL,True,35.0,
NSE_EQ,VIYASH SCIENTIFIC LIMITED,NSE,EQ,NSE_EQ|INE807F01027,1.0,100000.0,14296,1.0,VIYASH,1.0,INE807F01027,NORMAL,True,36.01,Sequent Scientific
NSE_EQ,GNA AXLES LIMITED,NSE,EQ,NSE_EQ|INE934S01014,1.0,100000.0,18571,5.0,GNA,1.0,INE934S01014,NORMAL,True,35.0,GNA Axles
NSE_EQ,VIKRAM SOLAR LIMITED,NSE,EQ,NSE_EQ|INE078V01014,1.0,100000.0,759453,1.0,VIKRAMSOLR,1.0,INE078V01014,NORMAL,True,35.0,
NSE_EQ,CENTRAL DEPO SER (I) LTD,NSE,EQ,NSE_EQ|INE736A01011,1.0,100000.0,21174,10.0,CDSL,1.0,INE736A01011,NORMAL,True,32.45,CDSL
NSE_EQ,IFB INDUSTRIES LTD,NSE,EQ,NSE_EQ|INE559A01017,1.0,100000.0,1485,10.0,IFBIND,1.0,INE559A01017,NORMAL,True,38.48,IFB Industries
NSE_EQ,RAYMOND LTD,NSE,EQ,NSE_EQ|INE301A01014,1.0,100000.0,2859,5.0,RAYMOND,1.0,INE301A01014,NORMAL,True,35.5,Raymond
NSE_EQ,ADANI POWER LTD,NSE,EQ,NSE_EQ|INE814H01029,1.0,100000.0,17388,1.0,ADANIPOWER,1.0,INE814H01029,NORMAL,True,35.88,Adani Power
